month,flow,value_omr_mn
2022-03,re_exports,107.22234
2022-04,exports,2044.3431739999996
2022-04,imports,1291.387508
2022-04,re_exports,121.82992900000002
2022-05,exports,2562.666478
2022-05,imports,1386.7745310000005
2022-05,re_exports,89.19412300000002
2022-06,exports,2346.8153190000003
2022-06,imports,1539.6828319999997
2022-06,re_exports,123.23016300000002
2022-07,exports,2286.4211579999997
2022-07,imports,1213.3056309999997
2022-07,re_exports,93.99198700000002
2022-08,exports,2240.916831
2022-08,imports,1401.1402289999999
2022-08,re_exports,126.17068899999995
2022-09,exports,2125.2720749999994
2022-09,imports,1082.481969
2022-09,re_exports,121.29668100000002
2022-10,exports,2154.3289950000003
2022-10,imports,1326.926823
2022-10,re_exports,101.12283899999998
2022-11,exports,2000.43735
2022-11,imports,1088.7549890000003
2022-11,re_exports,134.82406700000004
2022-12,exports,2076.9027960000003
2022-12,imports,1129.556534
2022-12,re_exports,109.123519
2023-01,exports,1968.38628
2023-01,imports,1288.4600529999998
2023-01,re_exports,111.20522899999997
2023-02,exports,1684.0523230000001
2023-02,imports,1028.908876
2023-02,re_exports,115.83115599999998
2023-03,exports,1858.1209629999998
2023-03,imports,1322.112931
2023-03,re_exports,121.51908500000002
2023-04,exports,1773.7700900000002
2023-04,imports,1227.1292760000001
2023-04,re_exports,115.84307100000001
2023-05,exports,1872.743718
2023-05,imports,1370.9764889999997
2023-05,re_exports,189.43028599999997
2023-06,exports,1698.0246570000002
2023-06,imports,992.0217539999999
2023-06,re_exports,106.93097400000002
2023-07,exports,1793.9145250000001
2023-07,imports,1197.8231179999998
2023-07,re_exports,110.22940999999999
2023-08,exports,1896.7556160000001
2023-08,imports,1291.4036559999997
2023-08,re_exports,121.40052800000002
2023-09,exports,2121.676493
2023-09,imports,1260.700559
2023-09,re_exports,108.32598000000002
2023-10,exports,2138.528331
2023-10,imports,1369.8934369999997
2023-10,re_exports,131.23942800000003
2023-11,exports,1990.799671
2023-11,imports,1289.5621139999998
2023-11,re_exports,111.14172799999999
2023-12,exports,2099.19045
2023-12,imports,1270.4594589999997
2023-12,re_exports,144.078434
2024-01,exports,2366.144136
2024-01,imports,1425.1036400000003
2024-01,re_exports,101.50950999999999
2024-02,exports,2015.2467880000002
2024-02,imports,1294.5698590000002
2024-02,re_exports,140.400249
2024-03,exports,2154.454687
2024-03,imports,1169.6584249999996
2024-03,re_exports,192.46790199999998
2024-04,exports,2069.024703
2024-04,imports,1299.1224889999999
2024-04,re_exports,122.57177700000003
2024-05,exports,2054.0168080000003
2024-05,imports,1481.783701
2024-05,re_exports,137.70522100000002
2024-06,exports,2041.962496
2024-06,imports,1333.4116250000002
2024-06,re_exports,171.922565
2024-07,exports,2138.637055
2024-07,imports,1403.8073090000003
2024-07,re_exports,132.67701899999997
2024-08,exports,2086.047686
2024-08,imports,1372.916874
2024-08,re_exports,131.99343599999997
2024-09,exports,1980.281588
2024-09,imports,1382.6884130000005
2024-09,re_exports,168.93658899999997
2024-10,exports,2142.4306129999995
2024-10,imports,1578.2048779999998
2024-10,re_exports,144.71911799999998
2024-11,exports,1973.3762869999998
2024-11,imports,1345.8129430000004
2024-11,re_exports,144.67967599999997
2024-12,exports,2032.3443249999998
2024-12,imports,1625.794224
2024-12,re_exports,118.766633
2025-01,exports,1949.176387
2025-01,imports,1419.4469219999999
2025-01,re_exports,99.81760200000001
2025-02,exports,1713.4184420000001
2025-02,imports,1288.0544629999997
2025-02,re_exports,123.24753700000002
2025-03,exports,2162.352111
2025-03,imports,1586.8563530000001
2025-03,re_exports,128.32155500000002
2025-04,exports,1929.635655
2025-04,imports,1353.4288030000002
2025-04,re_exports,110.14470199999998
2025-05,exports,1865.404601
2025-05,imports,1517.2313429999997
2025-05,re_exports,161.20713
2025-06,exports,1866.250531
2025-06,imports,1223.493273
2025-06,re_exports,192.413201
2025-07,exports,1976.7607730000004
2025-07,imports,1509.365922
2025-07,re_exports,188.732962
2025-08,exports,1832.01579
2025-08,imports,1465.489201
2025-08,re_exports,118.37499699999996
2025-09,exports,1854.848769
2025-09,imports,1447.781686
2025-09,re_exports,143.87141
2025-10,exports,2205.1392490000003
2025-10,imports,1480.999217
2025-10,re_exports,366.6056750000001
2025-11,exports,1909.349075
2025-11,imports,1349.378641
2025-11,re_exports,197.06003999999996
2025-12,exports,2000.044872
2025-12,imports,1519.5466900000001
2025-12,re_exports,225.96900100000002
2026-01,exports,1822.463816
2026-01,imports,1491.073987
2026-01,re_exports,109.626271
2026-02,exports,1678.476633
2026-02,imports,1338.197967
2026-02,re_exports,132.62826799999996
2026-03,exports,1817.774677
2026-03,imports,943.9720090000002
2026-03,re_exports,123.76288699999999
2026-04,exports,2306.1439170000003
2026-04,imports,1761.133374
2026-04,re_exports,403.77622800000006
